,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
610,154.0,3.465,0.222,0.774,0.429,0.592,0.552,0.226,0,pink
611,152.0,3.515,0.328,0.616,0.319,0.543,0.505,0.236,0,pink
612,151.0,3.471,0.369,0.946,0.326,0.582,0.253,0.455,0,pink
613,151.0,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0,pink
614,152.0,3.334,0.359,0.711,0.614,0.555,0.217,0.411,0,pink
615,35.0,6.411,1.395,1.084,0.72,0.31,0.325,0.137,1,purple
616,34.0,6.379,1.49,0.848,0.593,0.379,0.3,0.155,1,purple
617,37.0,6.344,1.531,1.287,0.59,0.45,0.148,0.273,1,purple
618,33.0,6.371,1.379,1.331,0.633,0.509,0.098,0.127,1,purple
619,28.0,6.375,1.403,1.357,0.795,0.439,0.08,0.132,1,purple
620,142.0,3.904,0.365,0.976,0.435,0.368,0.107,0.208,0,pink
621,128.0,4.219,0.443,0.774,0.405,0.311,0.117,0.191,0,pink
622,115.0,4.535,0.479,1.18,0.409,0.378,0.183,0.115,0,pink
623,109.0,4.631,0.429,1.117,0.433,0.406,0.138,0.082,0,pink
624,111.0,4.681,0.45,1.134,0.571,0.292,0.153,0.072,0,pink
625,87.0,5.123,0.921,1.01,0.748,0.201,0.026,0.192,2,dark purple
626,86.0,5.177,1.034,0.813,0.646,0.157,0.043,0.207,2,dark purple
627,73.0,5.395,1.069,1.258,0.651,0.209,0.22,0.041,2,dark purple
628,78.0,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2,dark purple
629,70.0,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2,dark purple
630,123.0,4.507,0.33,0.956,0.0,0.408,0.088,0.215,0,pink
631,111.0,4.635,0.365,0.628,0.0,0.307,0.082,0.239,0,pink
632,106.0,4.709,0.368,0.984,0.006,0.319,0.293,0.071,0,pink
633,113.0,4.571,0.256,0.813,0.0,0.355,0.238,0.053,0,pink
634,129.0,4.374,0.268,0.841,0.242,0.309,0.252,0.045,0,pink
635,24.0,6.798,1.522,1.02,1.025,0.543,0.492,0.311,1,purple
636,22.0,6.739,1.646,0.868,0.947,0.488,0.47,0.327,1,purple
637,26.0,6.572,1.692,1.354,0.949,0.55,0.346,0.464,1,purple
638,34.0,6.343,1.529,1.451,1.008,0.631,0.261,0.457,1,purple
639,34.0,6.262,1.572,1.463,1.141,0.556,0.271,0.453,1,purple
640,45.0,5.995,1.169,1.27,0.789,0.318,0.034,0.169,1,purple
641,45.0,6.078,1.28,1.083,0.704,0.234,0.029,0.138,1,purple
642,40.0,6.098,1.325,1.505,0.713,0.296,0.137,0.024,1,purple
643,39.0,6.173,1.21,1.537,0.776,0.354,0.118,0.014,1,purple
644,38.0,6.198,1.246,1.504,0.881,0.334,0.121,0.014,1,purple
645,55.0,5.848,1.185,1.274,0.873,0.609,0.038,0.253,2,dark purple
646,63.0,5.768,1.299,1.056,0.792,0.532,0.036,0.257,2,dark purple
647,62.0,5.758,1.341,1.453,0.791,0.573,0.243,0.045,2,dark purple
648,51.0,5.948,1.219,1.506,0.856,0.633,0.16,0.051,1,purple
649,44.0,6.118,1.258,1.523,0.953,0.564,0.144,0.057,1,purple
650,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
651,76.0,5.44,0.0,0.336,0.115,0.568,0.312,0.272,2,dark purple
652,93.0,5.151,0.023,0.721,0.114,0.602,0.292,0.282,2,dark purple
653,98.0,4.982,0.0,0.712,0.115,0.674,0.238,0.282,2,dark purple
654,112.0,4.668,0.0,0.698,0.268,0.559,0.243,0.27,0,pink
660,113.0,4.642,0.92,1.185,0.277,0.332,0.089,0.12,0,pink
661,116.0,4.459,1.024,0.961,0.186,0.425,0.084,0.137,0,pink
662,101.0,4.829,1.055,1.385,0.187,0.479,0.139,0.073,2,dark purple
663,105.0,4.724,0.94,1.41,0.33,0.516,0.103,0.056,0,pink
664,106.0,4.722,0.96,1.351,0.469,0.389,0.13,0.055,0,pink
665,47.0,5.984,1.245,0.958,0.965,0.332,0.079,0.186,1,purple
666,57.0,5.835,1.359,0.722,0.886,0.252,0.077,0.188,2,dark purple
667,55.0,5.838,1.402,1.128,0.9,0.258,0.207,0.063,2,dark purple
668,57.0,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2,dark purple
669,54.0,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2,dark purple
670,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
671,143.0,3.832,0.394,0.185,0.158,0.197,0.13,0.259,0,pink
672,147.0,3.591,0.397,0.601,0.163,0.147,0.286,0.117,0,pink
673,154.0,3.254,0.337,0.608,0.177,0.112,0.224,0.106,0,pink
674,156.0,2.853,0.306,0.575,0.295,0.01,0.202,0.091,0,pink
675,36.0,6.329,1.23,1.314,0.956,0.46,0.064,0.182,1,purple
676,37.0,6.361,1.343,1.129,0.879,0.375,0.061,0.177,1,purple
677,34.0,6.403,1.384,1.532,0.889,0.409,0.19,0.071,1,purple
678,36.0,6.31,1.251,1.538,0.965,0.449,0.142,0.074,1,purple
679,30.0,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1,purple
680,132.0,4.271,0.835,1.019,0.708,0.537,0.092,0.408,0,pink
681,117.0,4.415,0.973,0.848,0.62,0.508,0.08,0.47,0,pink
682,120.0,4.44,1.01,1.26,0.625,0.561,0.491,0.074,0,pink
683,116.0,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0,pink
684,130.0,4.366,0.949,1.265,0.831,0.47,0.244,0.047,0,pink
685,118.0,4.55,0.521,1.014,0.369,0.101,0.147,0.191,0,pink
686,133.0,4.139,0.631,0.819,0.298,0.0,0.1,0.181,0,pink
687,130.0,4.139,0.66,1.214,0.291,0.015,0.182,0.09,0,pink
688,137.0,4.139,0.605,1.24,0.312,0.016,0.134,0.082,0,pink
689,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
700,8.0,7.364,1.332,1.289,0.911,0.66,0.438,0.363,1,purple
701,10.0,7.291,1.452,1.088,0.831,0.582,0.409,0.383,1,purple
702,9.0,7.284,1.494,1.478,0.831,0.613,0.385,0.384,1,purple
703,9.0,7.314,1.355,1.501,0.913,0.659,0.285,0.383,1,purple
704,7.0,7.343,1.387,1.487,1.009,0.574,0.267,0.373,1,purple
705,1.0,7.587,1.397,1.35,0.941,0.666,0.42,0.297,1,purple
706,2.0,7.509,1.527,1.145,0.863,0.586,0.412,0.281,1,purple
707,4.0,7.494,1.565,1.517,0.858,0.62,0.291,0.367,1,purple
708,5.0,7.487,1.42,1.549,0.927,0.66,0.256,0.357,1,purple
709,6.0,7.48,1.452,1.526,1.052,0.572,0.263,0.343,1,purple
710,156.0,3.006,0.663,0.475,0.722,0.157,0.189,0.472,0,pink
711,156.0,3.069,0.747,0.149,0.63,0.069,0.172,0.484,0,pink
712,152.0,3.462,0.777,0.396,0.501,0.082,0.494,0.151,0,pink
713,150.0,3.462,0.689,0.382,0.539,0.088,0.376,0.144,0,pink
714,149.0,3.462,0.619,0.378,0.44,0.013,0.331,0.141,0,pink
715,38.0,6.298,1.291,1.076,0.875,0.397,0.081,0.254,1,purple
716,34.0,6.379,1.397,0.926,0.796,0.324,0.066,0.255,1,purple
717,33.0,6.422,1.434,1.385,0.794,0.361,0.258,0.064,1,purple
718,26.0,6.441,1.365,1.436,0.857,0.418,0.151,0.078,1,purple
719,25.0,6.446,1.368,1.43,0.914,0.351,0.242,0.097,1,purple
720,106.0,4.786,0.39,0.856,0.574,0.472,0.151,0.23,0,pink
721,100.0,4.996,0.488,0.756,0.531,0.434,0.135,0.26,2,dark purple
722,96.0,5.041,0.525,1.271,0.529,0.472,0.249,0.146,2,dark purple
723,88.0,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2,dark purple
724,74.0,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2,dark purple
725,146.0,3.781,0.285,1.003,0.382,0.329,0.057,0.344,0,pink
726,149.0,3.666,0.472,0.776,0.357,0.318,0.051,0.315,0,pink
727,153.0,3.349,0.511,1.042,0.365,0.39,0.354,0.066,0,pink
728,153.0,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0,pink
729,153.0,3.231,0.476,0.885,0.499,0.417,0.276,0.147,0,pink
730,34.0,6.455,0.967,1.265,0.739,0.557,0.032,0.576,1,purple
731,33.0,6.474,1.089,1.045,0.649,0.496,0.028,0.587,1,purple
732,32.0,6.424,1.128,1.426,0.647,0.58,0.572,0.032,1,purple
733,46.0,6.072,1.016,1.417,0.707,0.637,0.364,0.029,1,purple
734,52.0,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2,dark purple
